Title,Abstract,Authors,Publication Year,url,Summary
Change in Estradiol Levels among Premenopausal Patients with Breast Cancer Treated Using Leuprolide Acetate 11.25 Milligrams 3-Month Depot and Tamoxifen.,"The combination of luteinizing hormone-releasing hormone analogs (LHRHa) with tamoxifen is used as a standard postoperative adjuvant therapy in patients with hormone receptor-positive/premenopausal breast cancer. Long-acting LHRHa formulations offer advantages in terms of patient convenience. However, data on the effectiveness of the 3-month (3M) acting formulation are still insufficient. This study was performed on patients who received the 3M LHRHa after surgery. The serum estradiol (E2) and follicle-stimulating hormone levels were measured before surgery, and periodically after surgery. In total, 318 patients were included in the study and analyzed. The mean E2 level before surgery was 63.7 pg/mL, while the mean E2 level during the administration of 3M LHRHa was 4.9 pg/mL. None of the patients were menstruating and had E2 values above 30.0 pg/mL. It is thought that the 3M LHRHa formulation can suppress the ovarian function effectively and be safely used to improve compliance.",['Lee YJ; Wu ZY; Kim HJ; Lee JW; Chung IY; Kim J; Lee SB; Son BH; Kim SB; Jung JH; Gong G; Ahn SH; Ko B'],2020,https://pubmed.ncbi.nlm.nih.gov/33154830,318 patients were included in the study and analyzed. the mean E2 level before surgery was 63.7 pg/mL.
Age at menarche and premenstrual syndrome in adolescent girls with intellectual disability in Bosnia and Herzegovina.,"The issues involving menstruation are the topic of many scientific inquiries in the fields of medicine, psychology, sociology and anthropology. The aim of this study was to determine the age at menarche and the most common symptoms of premenstrual syndrome (PMS) in adolescent girls with intellectual disability. The main method of data collection was through the use of a survey and an interview with the girls. The sample consisted of 31 adolescent girls with intellectual disability and 31 adolescent girls without intellectual disability serving as a control group. Both groups were between the ages of 14 and 18 years. The results of this study revealed higher variability of age at menarche in girls with intellectual disability compared to girls without intellectual disability. The symptoms of PMS were almost equally distributed in both groups of girls. Many girls with intellectual disability do not have enough knowledge about menstruation. More attention needs to be given to treating the symptoms of PMS and educating the girls in a school setting.",['Ibralic I; Sinanovic O; Memisevic H'],2010,https://pubmed.ncbi.nlm.nih.gov/20207519,the study was conducted in a study of 31 adolescent girls with intellectual disability. the study was conducted by a survey and an interview with the girls. the results revealed higher variability of age at menarche in girls with intellectual disability compared to girls without intellectual disability.
Archaeological evidence of an ethnographically documented Australian Aboriginal ritual dated to the last ice age.,"In societies without writing, ethnographically known rituals have rarely been tracked back archaeologically more than a few hundred years. At the invitation of GunaiKurnai Aboriginal Elders, we undertook archaeological excavations at Cloggs Cave in the foothills of the Australian Alps. In GunaiKurnai Country, caves were not used as residential places during the early colonial period (mid-nineteenth century CE), but as secluded retreats for the performance of rituals by Aboriginal medicine men and women known as 'mulla-mullung', as documented by ethnographers. Here we report the discovery of buried 11,000- and 12,000-year-old miniature fireplaces with protruding trimmed wooden artefacts made of Casuarina wood smeared with animal or human fat, matching the configuration and contents of GunaiKurnai ritual installations described in nineteenth-century ethnography. These findings represent 500 generations of cultural transmission of an ethnographically documented ritual practice that dates back to the end of the last ice age and that contains Australia's oldest known wooden artefacts.",['David B; Mullett R; Wright N; Stephenson B; Ash J; Fresløv J; Delannoy JJ; McDowell MC; Mialanes J; Petchey F; Arnold LJ; Rogers AJ; Crouch J; Green H; Urwin C; Matheson CD'],2024,https://pubmed.ncbi.nlm.nih.gov/38951612,"ethnographicly documented rituals date back to the end of the last ice age. in societies without writing, ethnographically known rituals have rarely been tracked back archaeologically more than a few hundred years."
"Impact of the 2008 <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>M</mi> <mi>W</mi></msub> </math> 7.9 Great Wenchuan earthquake on South China microplate motion.","Tectonic plate motions drive the earthquake cycle, as they result in the slow accrual and sudden release of energy along plate boundaries. Steadiness of plate motions over the earthquake cycle is a central tenet of the plate tectonics theory and has long been a main pillar in models of earthquake genesis, or of plate-margins seismic potential inferred from slip-deficit estimates. The advent of geodesy in the geosciences and the availability of multi-year-long series of position measurements permit tracking the motions of tectonic plates from before to after the time of significant seismic events that occur along their margins. Here, we present evidence that large earthquakes are capable of modifying the motions of entire microplates. We use high precision Global Navigation Satellite System (GNSS) position time-series covering the periods 2001-2004 and 2014-2017 to demonstrate that, contrary to the tenet above, the South China microplate motion changed after the 2008 <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>M</mi> <mi>W</mi></msub> </math> 7.9 Great Wenchuan earthquake. The GNSS data and associated uncertainties indicate a plate motion slowdown of up to 20% that is beyond the possible impact of data noise and is thus tectonically meaningful. We use quantitative models of torque balance to show that generating this kinematic change requires a force upon the South China microplate compatible with that imparted by the Great Wenchuan earthquake of 2008. The existence of a kinematic signal linked to the earthquake cycle that impacts an entire microplate might offer an additional, novel perspective to assessing the hazards of earthquake-prone tectonic regions.",['Iaffaldano G; Martin de Blas J; Rui X; Stamps DS; Bin Z'],2024,https://pubmed.ncbi.nlm.nih.gov/39014128,"tectonic plate motions drive the earthquake cycle, as they result in the slow accrual and sudden release of energy along plate boundaries. tectonic plate motions drive the earthquake cycle, as they result in the slow accrual and sudden release of energy along plate boundaries."
Characteristics of the menstrual cycle in 13-year-old Flemish girls and the impact of menstrual symptoms on social life.,"This study aimed to investigate the characteristics of symptoms related to the menstrual cycle and their impact on social activities in young teenage girls. Between March and June 2009, all girls born in 1996 who were residents of eight regions in Flanders (Belgium) received a semi-structured questionnaire, including questions about the age of menarche, characteristics of the menstrual cycle, and its impact on social activities. Participants were 792 13-year-old girls (15.7 % of the target population). Out of 363 (47.2 % of participants) postmenarcheal girls, 41.6 % (95 % confidence interval (CI) 36.4-47.0 %) reported painful menstruations. The proportion of girls with painful menstrual periods decreased approximately 16 % with each year the age at menarche increased (relative risk (RR) = 0.84; 0.73-0.98; p < 0.05) and was positively correlated with the amount of blood loss (RR = 0.33; 0.16-0.67; p < 0.05 when little and 1.85; 1.49-2.31; p < 0.001 when abundant, compared to average). One in four (25.4 %) postmenarcheal girls indicated a negative impact of menstruation on social activities, but this proportion was significantly higher in girls who experienced menstruation as painful (41.3 %) compared to those who did not (14.2 %). Early menstrual complaints are common in young adolescent girls and the likelihood of pain increased significantly with lower menarcheal age. What is Known? • Menstrual cycle-related symptoms may negatively interfere with school absence and social activities. • Early menarche and severe dysmenorrhea are correlated with endometriosis. What is New? • In this large population-based study on the characteristics of the menstrual cycle in young teenage girls at or shortly after menarche, painful menstruation was highly prevalent (41.7 %), but related school absenteeism was low (3.2 %). The likelihood of pain increased significantly with lower menarcheal age. • The findings support the need for a systematic evaluation of the characteristics of the menstrual cycle shortly after menarche.","[""Hoppenbrouwers K; Roelants M; Meuleman C; Rijkers A; Van Leeuwen K; Desoete A; D'Hooghe T""]",2016,https://pubmed.ncbi.nlm.nih.gov/26670027,"study aims to investigate the characteristics of menstrual symptoms in 13-year-old girls. participants were 792 13-year-old girls (15.7 % of the target population) out of 363 (47.2 % of participants) postmenarcheal girls, 41.6 % reported painful menstruations."
Menstrual and perimenopausal migraine: A narrative review.,"Migraine is affected by the changing hormone environment, with perimenopause associated with increased migraine, particularly menstrual migraine. Menstrual attacks are recognised to be more disabling and less responsive to treatment compared with non-menstrual attacks. Perimenstrual estrogen 'withdrawal' is implicated in the pathophysiology of menstrual migraine, with increased prevalence of migraine in perimenopause associated with unpredictable estrogen fluctuations. Perimenopausal women often have contraceptive needs as well as menopause symptoms and it is important to understand the potential effects of exogenous hormones on migraine. Maintaining stable estrogen levels with exogenous hormones can benefit migraine but clinical trial data are limited. This short narrative review addresses the diagnosis and management of menstrual migraine in perimenopausal women, and discusses the management of menopause symptoms in peri- and postmenopausal women with migraine.",['MacGregor EA'],2020,https://pubmed.ncbi.nlm.nih.gov/33158484,menstrual migraine is associated with increased migraine. menstrual attacks are more disabling and less responsive to treatment. menstrual attacks are recognised to be more disabling.
Prevalence of premenstrual syndrome and related factors among nurses.,"Premenstrual syndrome (PMS) is a common condition among women during their menstrual cycle. PMS can negatively affect a woman's daily life and function. Nurses, as an important and substantial segment of healthcare staff, are affected by the demanding environment of work place. Since PMS, as a prevalent counterproductive condition, has not been studied in this population in Iran, we assessed the prevalence of PMS and its associated factors among nurses aged 23 to 49 in teaching hospitals of the Tehran province of Iran. In this cross-sectional study from April 2021 to January 2022, 280 participants from teaching hospitals were enrolled. Simple random sampling was used to determine the sample size of the study. Two validated questionnaires and a data gathering sheet were used to collect information. The premenstrual symptoms screening tool was used to determine PMS severity and the Copenhagen Psychosocial Questionnaire to evaluate the associated job demands. Demographic data and work-related data included: night shift, shift type, monthly COVID-19 care and gynecologic and past medical history were gathered. Then data were analyzed using logistic regression analysis, chi-square and t-test. The severity of PMS was: mild (42.5%); moderate (30%); and severe (27.5%). Regular menstruation and dysmenorrhea were reported by 84.6% and 72.3%, respectively. Moderate to severe PMS was associated with: monthly COVID shift (p=0.02); emotional (p<0.01) and quantitative (p<0.01) demands; regular caffeine intake (p=0.01); education level (p=0.005); regular exercise (p=0.003); regular fiber intake (p=0.08); and irregular menstrual cycles (p=0.007). In logistic regression only quantitative (p=0.003) and emotional (p=0.018) job demands were significant. Results showed that the prevalence of PMS was high among Iranian nurses and was associated with quantitative and emotional job demands. We suggest further studies focusing on preventative and effective interventions to diminish the consequences of PMS in this population. We also suggest investigating the practical application of the findings of this study for healthcare professionals and policymakers.",['Saraei M; Shahrbabak ZM; Khalafi F; Aminian O; Eftekhari S; Izadi N'],2024,https://pubmed.ncbi.nlm.nih.gov/38867710,premenstrual syndrome (PMS) is a common condition among women during their menstrual cycle. the condition can negatively affect a woman's daily life and function.
Luteal Phase Defects and Progesterone Supplementation.,"Luteal phase defects (LPDs), or an insufficiency of progesterone production during the luteal phase of the menstrual cycle, have been identified as a potential cause of recurrent pregnancy loss (RPL), but its exact contribution to RPL is not well-defined. In addition, the role of exogenous progesterone supplementation during pregnancy remains controversial. The goal of this review is to provide an updated, evidence-based summary of LPD, including prevalence and potential pathophysiologic mechanisms, and to explore the current controversies regarding progesterone supplementation for management and treatment of RPL. A literature review identified relevant research using a PubMed search, Cochrane summaries, review articles, textbook chapters, databases, and society guidelines. Endogenous progesterone plays a crucial role in the first trimester of pregnancy, and therefore, insufficiency may contribute to RPL. However, the precise relationship between LPD and RPL remains unclear. Luteal phase defect is primarily a clinical diagnosis based on a luteal phase less than 10 days. Although there may be a possibility of incorporating a combined clinical and biochemical approach in defining LPD, the current lack of validated diagnostic criteria creates a challenge for its routine incorporation in the workup of infertility. Moreover, no treatment modality has demonstrated efficacy in improving fertility outcomes for LPD patients, including progesterone supplementation, whose inconsistent data do not sufficiently support its routine use, despite its minimal risk. It is imperative that women diagnosed with LPD should be worked up for other potential conditions that may contribute to a shortened luteal phase. Future work needs to focus on identifying a reproducible diagnostic test for LPD to guide treatment. Currently, the perceived relationship between LPD and RPL is challenged by conflicting data. Therefore, patients with an abnormal luteal phase should undergo a thorough workup to address any other potential etiologies. Although supplemental progesterone is commonly utilized for treatment of LPD and RPL, inconsistent supporting data call for exogenous hormone therapy to be only used in a research setting or after a thorough discussion of its shortcomings.",['Collins LC; Gatta LA; Dotters-Katz SK; Kuller JA; Schust DJ'],2024,https://pubmed.ncbi.nlm.nih.gov/38377455,a literature review identified relevant research using a PubMed search. the precise relationship between LPD and RPL remains unclear. a clinical diagnosis based on a luteal phase less than 10 days is a potential cause of recurrent pregnancy loss.
Worth a Shot: Experience and Lessons From an Unsuccessful Pediatric Immunization Quality Improvement Effort in a Large Health System During the COVID-19 Pandemic.,"During the coronavirus disease of 2019 (COVID-19) pandemic, routine childhood immunization rates dropped dramatically across the world, and the Military Health System (MHS) was no exception. In the MHS, which is a large, universally covered, low-to-no-cost health system, the immunization rates with the measles, mumps, and rubella (MMR) vaccine remain below the rate necessary to prevent community transmission of measles. We aimed to improve childhood immunization rates in the MHS with an expansive quality improvement project. Measles, mumps, and rubella immunization rates served as proxy outcome measures for routine immunization rates tracked by the Center for Disease Control multi-immunization combination measures. The tracked measure was the percentage of 16- to 18-month olds and 6-year olds who had received MMR #1 and MMR #2, respectively. Various countermeasures were implemented throughout the study period, and standard quality improvement analyses informed the effect of countermeasures. By January 2023, the percentage of 16- to 18-month olds and 6-year olds who had received MMR #1 and MMR #2 was 85% and 91%, respectively, with no positive shift in immunization rates despite various countermeasures introduced during the study period. For reference, the MMR immunization rates of commercial health maintenance organization and commercial preferred provider organization for 24-month-old populations were 92% and 90.3%, respectively. On chart review, the most common cause for under-immunization (55%) was vaccine abandonment. MMR #1 rates rose to 92% in 24-month olds. Measles, mumps, and rubella immunization rates within the MHS remained below commercial health system rates and below public health standards required for herd immunity despite various countermeasures throughout the COVID-19 pandemic. Immunization rates increased with age, suggesting that children within the MHS eventually catch up despite potential barriers.",['Howard B; Gorman G'],2024,https://pubmed.ncbi.nlm.nih.gov/38935398,"routine childhood immunization rates dropped dramatically during the COVID-19 pandemic. the military health system was no exception in the large, universally covered, low-to-no-cost health system. the immunization rates with the measles, mumps, and rubella vaccine remain below the rate necessary to prevent community transmission of measles."
"Menstrual cycle characteristics, perceived impact on performance, and barriers to communication: Perspectives of high-performance adolescent athletes in Singapore.","The purpose of this study was to examine the menstrual cycle (MC) characteristics, explore the impact on performance, and identify barriers to and facilitators of MC-related communication among high-performance female adolescent athletes in Singapore. Ninety athletes (15.4 ± 1.8 years) from multiple sports completed an online questionnaire. Eighty-four athletes were postmenarcheal (menarcheal age 11.9 ± 1.3 years), including two who were using an oral contraceptive pill (OCP). Secondary amenorrhea, current or history of, was self-reported in 16% of athletes. Sixty-two percent and 67% of non-OCP athletes perceived that the MC affected their ability to train and compete, respectively. Athletes preferred speaking to a parent (85%) and a female figure (67%) about MC-related concerns. Through thematic analysis, three barriers to communication were constructed: (1) pervasive menstrual stigma, (2) constraints of the training environment, and (3) the low value placed on MC-related conversations. Two facilitators of communication were constructed: (1) respect athletes' individual experiences as menstruating girls and (2) foster a safe space for MC-related conversations. Findings demonstrated that menstrual irregularities are common in adolescent athletes and screening for MC disorders, particularly primary amenorrhea should be undertaken in this population, with clear support pathways for management including symptom mitigation. To support athletes in raising MC-related concerns when needed, structured communication pathways that consider individual preferences and involve a (female) point of contact should be established within the training environment. Improving menstrual health literacy among adolescent athletes before any misinformation or negative perceptions are firmly established may contribute to longevity in their athletic careers.",['Taim BC; Lye J; Suppiah HT; Chan TW; Chia M; Clarke A'],2024,https://pubmed.ncbi.nlm.nih.gov/37682006,"study examined menstrual cycle characteristics, perceived impact on performance, and barriers to communication among high-performance female adolescent athletes in Singapore. ninety athletes completed an online questionnaire. eighty-four athletes were postmenarcheal (menarcheal age 11.9  1.3 years), including two who were using an oral contraceptive pill (OCP) secondary amenorrhea, current or history of, was self-reported in 16% of athletes."
